Commune,Canton,Finished Houses Sold,Average price per m^2,m^2 price range,Unfinished Houses Sold,Average Unfinished Houses Price per m^2,Unfinished Houses m^2 price range,Year
Beaufort,Echternach,4,*,*,0,*,*,2007
Bech,Echternach,0,*,*,0,*,*,2007
Beckerich,Redange,8,*,*,0,*,*,2007
Berdorf,Echternach,6,*,*,1,*,*,2007
Bertrange,Luxembourg,21,3908.121,2829 € - 4720 €,29,4575.018,3070 € - 5843 €,2007
Bettembourg,Esch,39,3517.353,2762 € - 4628 €,1,*,*,2007
Bettendorf,Diekirch,5,*,*,2,*,*,2007
Betzdorf,Grevenmacher,6,*,*,12,3944.939,3453 € - 4376 €,2007
Bissen,Mersch,12,3283.405,2727 € - 3864 €,7,*,*,2007
Biwer,Grevenmacher,0,*,*,0,*,*,2007
Boevange-sur-Attert,Mersch,3,*,*,0,*,*,2007
Boulaide,Wiltz,5,*,*,0,*,*,2007
Bourscheid,Diekirch,0,*,*,0,*,*,2007
Bous,Remich,5,*,*,6,*,*,2007
Clervaux,Clervaux,21,2630.094,1797 € - 3106 €,10,2961.173,2000 € - 3268 €,2007
Colmar-Berg,Mersch,15,3187.429,2154 € - 3974 €,3,*,*,2007
Consdorf,Echternach,3,*,*,0,*,*,2007
Contern,Luxembourg,13,3543.771,2595 € - 4578 €,13,4295.268,3603 € - 4970 €,2007
Dalheim,Remich,10,3647,2262 € - 4631 €,0,*,*,2007
Diekirch,Diekirch,33,3342.848,2207 € - 4420 €,4,*,*,2007
Differdange,Esch,155,3158.416,2097 € - 4120 €,102,3423.192,2839 € - 3947 €,2007
Dippach,Capellen,9,*,*,0,*,*,2007
Dudelange,Esch,153,3433.776,2408 € - 4225 €,31,3315.441,2452 € - 4059 €,2007
Echternach,Echternach,22,3162.384,2654 € - 3893 €,17,3373.457,2743 € - 4022 €,2007
Ell,Redange,8,*,*,4,*,*,2007
Erpeldange,Diekirch,5,*,*,2,*,*,2007
Esch-sur-Alzette,Esch,189,3254.348,2309 € - 4139 €,62,3745.746,3236 € - 4390 €,2007
Esch-sur-Sûre,Wiltz,8,*,*,2,*,*,2007
Eschweiler,Wiltz,4,*,*,1,*,*,2007
Ettelbruck,Diekirch,33,3288.309,2025 € - 4167 €,12,3152.717,2389 € - 4172 €,2007
Feulen,Diekirch,0,*,*,0,*,*,2007
Fischbach,Mersch,7,*,*,0,*,*,2007
Flaxweiler,Grevenmacher,1,*,*,0,*,*,2007
Frisange,Esch,21,3615.148,2775 € - 4345 €,16,3610.124,2827 € - 4317 €,2007
Garnich,Capellen,4,*,*,0,*,*,2007
Goesdorf,Wiltz,1,*,*,2,*,*,2007
Grevenmacher,Grevenmacher,23,3290.05,2528 € - 3991 €,18,3945.229,2819 € - 4800 €,2007
Grosbous,Redange,1,*,*,5,*,*,2007
Heffingen,Mersch,0,*,*,1,*,*,2007
Hesperange,Luxembourg,75,3710.952,2444 € - 4868 €,29,4218.488,3129 € - 5317 €,2007
Hobscheid,Capellen,17,3438.451,2734 € - 4335 €,8,*,*,2007
Junglinster,Grevenmacher,16,3768.906,2774 € - 4573 €,6,*,*,2007
Kaerjeng,Capellen,34,3384.8,2451 € - 4123 €,39,3760.421,3301 € - 4514 €,2007
Kayl,Esch,33,3383.805,1962 € - 4259 €,17,3374.606,2286 € - 3988 €,2007
Kehlen,Capellen,4,*,*,13,3800.394,2828 € - 4290 €,2007
Kiischpelt,Wilz,0,*,*,0,*,*,2007
Koerich,Capellen,3,*,*,0,*,*,2007
Kopstal,Capellen,2,*,*,0,*,*,2007
Lac de la Haute-Sûre,Wiltz,0,*,*,0,*,*,2007
Larochette,Mersch,6,*,*,6,*,*,2007
Lenningen,Remich,0,*,*,0,*,*,2007
Leudelange,Esch,11,3899.653,2203 € - 5183 €,12,4239.256,3839 € - 4992 €,2007
Lintgen,Mersch,11,3215.429,2651 € - 4003 €,12,3578.942,2392 € - 4702 €,2007
Lorentzweiler,Mersch,9,*,*,6,*,*,2007
Luxembourg-Ville,Luxembourg,406,4015.068,2541 € - 5260 €,371,4583.493,3470 € - 6270 €,2007
Mamer,Capellen,39,3666.013,2480 € - 4378 €,52,4157.4,2931 € - 4818 €,2007
Manternach,Grevenmacher,2,*,*,0,*,*,2007
Mersch,Mersch,37,3609.254,2722 € - 4537 €,9,*,*,2007
Mertert,Grevenmacher,19,3295.046,1892 € - 4584 €,4,*,*,2007
Mertzig,Diekirch,3,*,*,5,*,*,2007
Mompach,Echternach,0,*,*,0,*,*,2007
Mondercange,Esch,32,3499.656,2885 € - 4060 €,20,4232.9,3096 € - 4988 €,2007
Mondorf-les-Bains,Remich,42,3730.947,2665 € - 4601 €,9,*,*,2007
Niederanven,Luxembourg,2,*,*,0,*,*,2007
Nommern,Mersch,2,*,*,2,*,*,2007
Parc Hosingen,Clervaux,0,*,*,0,*,*,2007
Petange,Esch,70,3248.469,2269 € - 4112 €,15,3233.133,2434 € - 3702 €,2007
Preizerdaul,Redange,1,*,*,0,*,*,2007
Putscheid,Vianden,0,*,*,2,*,*,2007
Rambrouch,Redange,9,*,*,1,*,*,2007
Reckange-sur-Mess,Esch,6,*,*,9,*,*,2007
Redange,Redange,1,*,*,39,2996.053,1934 € - 3961 €,2007
Reisdorf,Diekirch,0,*,*,0,*,*,2007
Remich,Remich,23,3364.58,2114 € - 4656 €,11,3226.928,2317 € - 3725 €,2007
Roeser,Esch,54,3759.958,2670 € - 4715 €,41,4016.909,3542 € - 4662 €,2007
Rosport,Echternach,1,*,*,4,*,*,2007
Rumelange,Esch,22,3061.89,2175 € - 3758 €,16,3028.659,2157 € - 3763 €,2007
Saeul,Redange,5,*,*,0,*,*,2007
Sandweiler,Luxembourg,14,3932.424,2756 € - 5512 €,1,*,*,2007
Sanem,Esch,85,3401.093,2343 € - 4166 €,16,3531.598,2663 € - 4310 €,2007
Schengen,Remich,18,3160.529,1938 € - 3987 €,19,3417.303,2764 € - 4164 €,2007
Schieren,Diekirch,3,*,*,8,*,*,2007
Schifflange,Esch,43,3242.409,2557 € - 3940 €,5,*,*,2007
Schuttrange,Luxembourg,10,3770.993,2214 € - 4940 €,0,*,*,2007
Septfontaines,Capellen,0,*,*,0,*,*,2007
Stadtbredimus,Remich,16,3452.03,3061 € - 4398 €,0,*,*,2007
Steinfort,Capellen,17,3514.572,2422 € - 4123 €,0,*,*,2007
Steinsel,Luxembourg,19,3496.743,2013 € - 4586 €,1,*,*,2007
Strassen,Luxembourg,35,4036.821,2786 € - 4987 €,74,4594.854,3819 € - 5541 €,2007
Tandel,Vianden,4,*,*,1,*,*,2007
Troisvierges,Clervaux,2,*,*,9,*,*,2007
Tuntange,Mersch,2,*,*,0,*,*,2007
Useldange,Redange,3,*,*,1,*,*,2007
Vallée de l'Ernz,Diekirch,2,*,*,5,*,*,2007
Vianden,Vianden,4,*,*,0,*,*,2007
Vichten,Redange,2,*,*,0,*,*,2007
Wahl,Redange,0,*,*,0,*,*,2007
Waldbillig,Echternach,1,*,*,0,*,*,2007
Waldbredimus,Remich,2,*,*,0,*,*,2007
Walferdange,Luxembourg,39,3823.288,2222 € - 5606 €,12,3995.714,3471 € - 4303 €,2007
Weiler-la-Tour,Luxembourg,6,*,*,6,*,*,2007
Weiswampach,Clervaux,5,*,*,1,*,*,2007
Wiltz,Wiltz,12,2749.759,1855 € - 3608 €,17,2698.785,2264 € - 2901 €,2007
Wincrange,Clervaux,4,*,*,0,*,*,2007
Winseler,Wiltz,5,*,*,9,*,*,2007
Wormeldange,Grevenmacher,4,*,*,1,*,*,2007
Beaufort,Echternach,3,*,*,0,*,*,2008
Bech,Echternach,0,*,*,0,*,*,2008
Beckerich,Redange,5,*,*,0,*,*,2008
Berdorf,Echternach,7,*,*,0,*,*,2008
Bertrange,Luxembourg,38,4661.472,2820 € - 5999 €,19,4604.649,3568 € - 5893 €,2008
Bettembourg,Esch,38,3418.235,2125 € - 4275 €,5,*,*,2008
Bettendorf,Diekirch,3,*,*,0,*,*,2008
Betzdorf,Grevenmacher,6,*,*,13,4019.344,2902 € - 4503 €,2008
Bissen,Mersch,11,3686.782,3246 € - 4300 €,11,3436.321,2747 € - 4186 €,2008
Biwer,Grevenmacher,1,*,*,0,*,*,2008
Boevange-sur-Attert,Mersch,1,*,*,0,*,*,2008
Boulaide,Wiltz,0,*,*,3,*,*,2008
Bourscheid,Diekirch,0,*,*,4,*,*,2008
Bous,Remich,3,*,*,3,*,*,2008
Clervaux,Clervaux,12,2846.091,2340 € - 3407 €,8,*,*,2008
Colmar-Berg,Mersch,12,3467.129,2729 € - 4322 €,14,3489.731,3075 € - 3857 €,2008
Consdorf,Echternach,2,*,*,0,*,*,2008
Contern,Luxembourg,10,3782.168,2632 € - 5620 €,2,*,*,2008
Dalheim,Remich,5,*,*,0,*,*,2008
