Year,Total Finished Houses Sold,National Average Price per m^2 of Finished Houses,National Average Range of Price per m^2 of Finished Houses,Total Unfinished Houses Sold,National Average Price per m^2 of Unfinished Houses,National Average Range of Price per m^2 of Unfinished Houses
2007,2207,3507.182,2327 € - 4731 €,1307,3945.805,2733 € - 5478 €
2008,2026,3578.83,2273 € - 4978 €,1254,4203.922,2982 € - 5611 €
2009,2182,3488.124,2301 € - 4852 €,979,4264.941,2894 € - 6203 €
2010,2302,3663.585,2438 € - 5142 €,1407,4480.081,3155 € - 6374 €
2011,2562,3858.319,2533 € - 5487 €,1621,4633.802,3232 € - 6448 €
2012,2400,3998.736,2543 € - 5933 €,1545,4845.979,3221 € - 6853 €
2013,2372,4160.0,2 624 € - 6 176 €,1497,5191.0,3 382 € - 7 502 €
2014,2896,4323.188,2754 € - 6487 €,1832,5283.35,3444 € - 7897 €
2015,2802,4470.578,2782 € - 6803 €,1740,5589.387,3683 € - 7772 €
2016,3069,4795.104,2952 € - 7641 €,1812,6050.853,3852 € - 8995 €
2017,3518,5102.931,3032 € - 8096 €,1812,6351.156,3921 € - 9691 €
2018,3513,5576.048,3203 € - 9210 €,1824,6331.764,3933 € - 9894 €
2019,3095,6057.491,3482 € - 10224 €,2107,7144.921,4455 € - 11429 €
2020,3059,7013.651,3936 € - 11386 €,2036,8014.137,4406 € - 12830 €
2021,3431.0,8104.5,4672 € - 12552 €,1325.0,8902.432,5381 € - 14916 €
2022,3105.0,8733.628,5338 € - 13162 €,1169.0,9346.757,5521 € - 15348 €
2023,2038.0,8091.0,4877 € - 12162 €,288.0,10118.58,5894 € - 14792 €
