DATAFLOW,VARIABLE: Variable,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_VARIABLE_2: Note Variable 2,NOTE_VARIABLE_1: Note Variable 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1987,51,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1988,63,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1989,50,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1990,68,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1991,73,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1992,83,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1993,74,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1994,75,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1995,71,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1996,76,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1997,73,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1998,57,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,1999,83,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2000,58,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2001,51,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2002,44,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2003,49,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2004,58,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2005,49,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2006,42,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2007,48,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2008,41,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2009,54,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2010,57,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2011,53,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2012,55,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2013,45,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2014,55,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2015,57,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2016,61,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2017,50,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2018,64,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2019,70,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2020,57,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2021,57,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM10008: Mondercange,A: Annual,2022,81,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1987,241,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1988,224,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1989,256,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1990,286,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1991,286,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1992,335,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1993,345,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1994,296,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1995,312,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1996,273,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1997,298,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1998,268,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,1999,310,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2000,278,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2001,291,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2002,285,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2003,266,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2004,302,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2005,275,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2006,323,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2007,290,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2008,309,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2009,301,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2010,320,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2011,309,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2012,346,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2013,324,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2014,347,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2015,334,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2016,345,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2017,377,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2018,359,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2019,354,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2020,375,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2021,418,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CT12: Canton Mersch,A: Annual,2022,380,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1987,32,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1988,27,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1989,32,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1990,31,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1991,36,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1992,35,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1993,39,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1994,36,,,,,,,,0: Zero
LU1:DF_X024(1.0),A01: Live births by municipality of residence,CM01003: Troisvierges,A: Annual,1995,46,,,,,,,,0: Zero
