DATAFLOW,INDICATOR: Indicator,MUNICIPALITY: Municipality,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_INDICATOR: Note,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_C1600(1.0),M020: P10,C1100: Wormeldange,A: Annual,2023,1556.80004882813,M20: the first decile (here referred to as P10) is the salary below which 10% of salaries are situated,,0: Zero
LU1:DF_C1600(1.0),M060: P50/P10,C220: Dippach,A: Annual,2023,2.23777413368225,,,1: One
LU1:DF_C1600(1.0),M060: P50/P10,C900: Stadtbredimus,A: Annual,2023,2.60265612602234,,,1: One
LU1:DF_C1600(1.0),M030: Median,C330: Flaxweiler,A: Annual,2023,5408.60009765625,,,0: Zero
LU1:DF_C1600(1.0),M060: P50/P10,C1070: Wiltz,A: Annual,2023,2.50043082237244,,,1: One
LU1:DF_C1600(1.0),M050: P90/P10,C440: Junglinster,A: Annual,2023,5.63057708740234,,,1: One
LU1:DF_C1600(1.0),M050: P90/P10,C610: Mersch,A: Annual,2023,5.4967679977417,,,1: One
LU1:DF_C1600(1.0),M070: P90/P50,C850: Schengen,A: Annual,2023,2.29984188079834,,,1: One
LU1:DF_C1600(1.0),M050: P90/P10,C950: Troisvierges,A: Annual,2023,6.09688138961792,,,1: One
LU1:DF_C1600(1.0),M040: P90,C320: Fischbach,A: Annual,2023,11864.6298828125,M40: the ninth decile (here referred to as P90) is the salary below which 90% of salaries are situated,,0: Zero
LU1:DF_C1600(1.0),M040: P90,C660: Mondorf-les-Bains,A: Annual,2023,10973.7197265625,M40: the ninth decile (here referred to as P90) is the salary below which 90% of salaries are situated,,0: Zero
LU1:DF_C1600(1.0),M020: P10,C550: Leudelange,A: Annual,2023,2447.07006835938,M20: the first decile (here referred to as P10) is the salary below which 10% of salaries are situated,,0: Zero
LU1:DF_C1600(1.0),M030: Median,C880: Schuttrange,A: Annual,2023,6516.91015625,,,0: Zero
LU1:DF_C1600(1.0),M040: P90,C490: Kiischpelt,A: Annual,2023,9082.01953125,M40: the ninth decile (here referred to as P90) is the salary below which 90% of salaries are situated,,0: Zero
LU1:DF_C1600(1.0),M050: P90/P10,C270: Erpeldange-sur-Sûre,A: Annual,2023,4.95540046691895,,,1: One
LU1:DF_C1600(1.0),M060: P50/P10,C600: Manternach,A: Annual,2023,2.37170839309692,,,1: One
LU1:DF_C1600(1.0),M040: P90,C870: Schifflange,A: Annual,2023,8548.109375,M40: the ninth decile (here referred to as P90) is the salary below which 90% of salaries are situated,,0: Zero
LU1:DF_C1600(1.0),M070: P90/P50,C170: Consdorf,A: Annual,2023,2.3668007850647,,,1: One
LU1:DF_C1600(1.0),M070: P90/P50,C1020: Waldbillig,A: Annual,2023,2.33749485015869,,,1: One
LU1:DF_C1600(1.0),M020: P10,C930: Strassen,A: Annual,2023,2489.48999023438,M20: the first decile (here referred to as P10) is the salary below which 10% of salaries are situated,,0: Zero
